brand,screen_size,harddisk,cpu,OS,price,integer_ram
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Dell,14.0,512.0,Ryzen,Win,542.95,8.0
Lenovo,14.0,512.0,Intel,Win,1249.0,16.0
Samsung,13.3,256.0,Intel,Chrome OS,643.0,8.0
Acer,17.3,128.0,Celeron,Chrome OS,328.67,4.0
Dell,15.6,2.0,Intel,Win,1000.0,64.0
Dell,16.0,1000.0,Intel,Win,899.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lg,16.0,2.0,Intel,Win,1899.0,32.0
Acer,14.0,512.0,Intel,Win,499.99,8.0
Dell,16.0,1000.0,Intel,Win,1020.33,32.0
Hp,17.3,1000.0,Intel,Win,619.99,32.0
Lenovo,13.0,256.0,8032,Win,799.0,8.0
Dell,13.4,1.0,Intel,Win,1126.85,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,15.6,256.0,Ryzen,Win,499.0,8.0
Lenovo,14.0,256.0,Ryzen,Win,622.04,16.0
Dell,15.6,256.0,Intel,Win,748.47,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,13.4,1.0,Intel,Win,1305.17,16.0
Razer,15.6,1.0,Intel,Win,1659.68,16.0
Hp,15.6,128.0,Intel,Win,377.0,8.0
Lenovo,14.0,64.0,Cortex,Chrome OS,299.0,4.0
Dell,15.6,1.0,Intel,Win,939.99,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Acer,16.0,1.0,Ryzen,Win,1649.99,16.0
Asus,16.0,2.0,Ryzen,Win,3849.99,32.0
Asus,11.6,64.0,Celeron,Win,252.54,4.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Hp,14.0,256.0,Intel,Win,499.99,8.0
Lg,16.0,1.0,Intel,Win,1612.99,16.0
Samsung,12.2,32.0,Celeron,Chrome OS,447.95,4.0
Lenovo,15.6,1.0,Intel,Win,487.0,20.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Hp,15.6,512.0,Intel,Win,520.0,16.0
Lg,17.0,1.0,Intel,Win,1399.99,16.0
Dell,15.6,512.0,Intel,Win,1428.96,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,15.6,512.0,Intel,Win,1749.33,16.0
Hp,14.0,512.0,Intel,Win,608.0,8.0
Lg,16.0,2.0,Intel,Win,1896.99,32.0
Asus,15.6,512.0,Intel,Win,999.0,16.0
Asus,14.0,256.0,Intel,Win,357.5,8.0
Msi,15.6,512.0,Intel,Win,1465.8,16.0
Lg,16.0,1.0,Intel,Win,1799.0,16.0
Dell,15.6,1000.0,Intel,Win,949.99,32.0
Hp,14.0,32.0,Celeron,Chrome OS,150.0,4.0
Lg,14.0,1.0,Intel,Win,1796.99,32.0
Msi,15.6,1.0,Intel,Win,1697.23,32.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Dell,15.6,512.0,Ryzen,Win,1497.99,16.0
Asus,14.0,1.0,Ryzen,Win,1099.99,16.0
